frame,timestamp_s,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle
0,0.0,20.476265996225514,-2.1811942480235635,27.20476384677401,31.869650379068933
1,0.033,18.904596983836832,-1.5540916157293883,27.52258290839409,31.770054042395966
2,0.067,16.429845534143638,1.3700459080567422,26.46493169728596,32.36887146079595
3,0.1,15.149785156402672,0.031783584981100725,25.78488970302565,31.737190843137075
4,0.133,15.124262032642477,0.1935810189832732,26.193222329600456,32.106264222266844
5,0.167,15.526699289041085,0.7634102468109666,26.530489204209623,32.75309253986225
6,0.2,15.75058826540501,23.462734530196013,26.781478837737325,32.60778386376752
7,0.233,16.087081305758865,20.100433476656658,27.19326751403988,33.70385585515054
8,0.267,16.258713794196975,33.72347338667513,27.328922983705695,34.83927788592611
9,0.3,16.317826416715395,37.45818253435961,27.38297091458663,37.07112056845336
10,0.333,14.761076156384286,66.68849341191535,27.606652587553732,41.68958361214379
11,0.367,14.53944607516683,77.50116678886556,27.241003416075245,44.33692361750711
12,0.4,15.326944457933397,81.16077470489422,27.06716891666594,47.60404934646703
13,0.433,14.712529707359016,82.49398748121152,27.854094944945814,51.71038862917938
14,0.467,14.793973866609246,84.05135278923501,27.734070755235575,55.979867167301244
15,0.5,12.346003717131644,85.1842928682259,27.673083523583763,58.20625893542551
16,0.533,13.321050324790933,87.9907296441807,27.314834314482557,57.600533636272054
17,0.567,12.115236285606647,93.01240826522861,25.546151016663295,57.81221162195733
18,0.6,12.038368390896503,94.7661385426838,24.154966425875127,59.7053447939138
19,0.633,12.690493105195959,95.68130355523527,24.345147010101996,61.024571588245706
20,0.667,13.30773545446555,96.69415270563971,24.76809143888518,59.861172350664354
21,0.7,13.373453952712145,97.7806595388329,24.79575389904137,60.9885658902627
22,0.733,14.578564675216882,98.38247810469939,25.800897345620964,60.35825047526306
23,0.767,14.284731422090216,99.60692995196008,26.343334227677783,61.34541541571612
24,0.8,16.329159624840678,99.54020787227657,26.447381848034702,62.3546826672208
25,0.833,16.854237815169125,99.57419419980945,26.111710487703956,62.91940856718502
26,0.867,16.940332815697495,100.22592381116745,25.922510947453617,63.174925560885285
27,0.9,17.507471606142314,100.12291674490591,25.720326240490326,63.33827005777508
28,0.933,17.1815617541163,101.97936713910568,25.129263919609738,63.18407586364323
29,0.967,17.43851620270452,101.10409779910796,24.792154901356206,64.52430878284986
30,1.0,19.095114209854806,100.51698087682853,25.28677551133266,64.75394759006487
31,1.033,18.127845739512562,100.9787152977018,25.735432396364462,63.729335351932676
32,1.067,18.22245663322864,100.27096323966913,25.42805268783511,63.91621242057656
33,1.1,16.799963660164288,99.90475570462507,24.93110837626814,64.42339728346717
34,1.133,16.604369586121354,99.7052115098191,24.65623029866122,63.95686568135504
35,1.167,16.824383602385772,99.64898207135722,24.91758653061117,62.34513346706545
36,1.2,15.527824312251347,98.9010631882488,24.71354125266694,62.103010499368686
37,1.233,14.731938055985193,98.90743711054148,25.016148423588653,62.298605151597336
38,1.267,14.132993731681475,98.35068382360173,24.103295297546097,62.61726384177563
39,1.3,12.610851800664772,97.62178412857183,23.703756040787393,63.1937082774596
40,1.333,14.135138142785515,96.80257664805394,23.73215269979945,63.81485481089343
41,1.367,14.625598619463553,95.90848987621236,23.518807908359992,64.50329340816938
42,1.4,15.112857792894596,95.27138640454737,23.62250671526613,64.9741202231899
43,1.433,15.503721847258985,95.5313723690163,23.81508253127521,65.38289792481743
44,1.467,11.243407325406196,97.42767323551726,19.928452604027747,65.72803445130657
45,1.5,13.868539465872061,100.15697511367148,21.018173101004233,67.12258356955459
46,1.533,15.223719251474426,102.26318192903256,21.890690905744215,69.31658190170833
47,1.567,17.776474468420943,106.03783727617957,21.94203332129576,69.23759247806294
48,1.6,18.517431870632773,110.29716377470896,22.222024562669432,69.86586743169215
